"Name","Network Address","Device Location"
"IMPSC0171","10.72.8.1","IMPDEBER11"
"IMPSA0172","10.72.8.5","IMPDEBER11"
"IMPSC0172","10.72.16.1","IMPDEBER20"
"IMPSC0169","10.72.40.1","IMPDEBER14"
"IMPSC0185","10.72.48.1","IMPSESTO2"
"IMPSC0167","10.72.88.1","IMPDEWEN10"
"IMPSA0163","10.72.88.5","IMPDEWEN10"
"IMPSA0164","10.72.88.6","IMPDEWEN10"
"IMPSA0165","10.72.88.7","IMPDEWEN10"
"IMPSA0166","10.72.88.8","IMPDEWEN10"
"IMPSA0167","10.72.88.9","IMPDEWEN10"
"IMPSA0007","10.72.88.11","IMPDEWEN10"
"IMPSC0011","10.72.128.1","IMPSESPA1"
"IMPSC0113","10.72.144.1","IMPDERM91"
"IMPSA0107","10.72.144.5","IMPDERM91"
"IMPSC0217","10.72.168.1","IMPDECGN11"
"IMPSC0257","10.72.168.5","IMPDECGN11"
"IMPSC0144","10.72.176.1","IMPDECGN12"
"IMPSC0134","10.72.184.1","IMPDEERF2"
"IMPSC0138","10.87.8.1","IMPSEAKA10"
"IMPSC0180","10.87.16.1","IMPSESTO14"
"IMPSA0338","10.87.16.5","IMPSESTO14"
"IMPSA0336","10.87.16.6","IMPSESTO18"
"IMPSC0179","10.87.24.1","IMPSEVAY10"
"IMPSA0001","10.87.24.5","IMPSEVAY10"
"IMPSW0018","10.87.24.6","IMPSEVAY10"
"IMPSC0181","10.192.16.1","IMPATVIE1"
"IMPSA0176","10.192.16.5","IMPATVIE1"
"IMPSA0177","10.192.16.6","IMPATVIE1"
"IMPSA0178","10.192.16.7","IMPATVIE1"
"IMPSA0179","10.192.16.8","IMPATVIE1"
"IMPSA0180","10.192.16.9","IMPATVIE1"
"IMPSA0181","10.192.16.10","IMPATVIE1"
"IMPSA0182","10.192.16.11","IMPATVIE1"
"IMPSA0377","10.192.16.12","IMPATVIE1"
"IMPSA0378","10.192.16.13","IMPATVIE1"
"IMPSA0379","10.192.16.14","ATVIE1"
"IMPSC0184","10.192.40.1","IMPATABG1"
"IMPSA0184","10.192.40.5","IMPATABG1"
"IMPSC0183","10.192.48.1","IMPATSZG2"
"IMPSA0183","10.192.48.5","IMPATSZG2"
"IMPSC0002","10.199.0.1","IMPFRARM1"
"IMPSA0340","10.199.0.5","IMPFRARM1"
"IMPSC0195","10.200.40.1","IMPDEBHR1"
"IMPSA0193","10.200.40.5","IMPDEBHR1"
"IMPSA0194","10.200.40.6","IMPDEBHR1"
"IMPSA0195","10.200.40.7","IMPDEBHR1"
"IMPSA0196","10.200.40.8","IMPDEBHR1"
"IMPSA0197","10.200.40.9","IMPDEBHR1"
"IMPSA0198","10.200.40.10","IMPDEBHR1"
"IMPSA0199","10.200.40.11","IMPDEBHR1"
"IMPSA0200","10.200.40.12","IMPDEBHR1"
"IMPSW0014","10.200.40.13","IMPDEBHR1"
"IMPSC0189","10.200.56.1","IMPDEERF1"
"IMPSW0025","10.200.56.5","IMPDEERF1"
"IMPSC0191","10.200.88.1","IMPDEHAM3"
"IMPSA0191","10.200.88.5","IMPDEHAM3"
"IMPSC0204","10.200.104.1","IMPDEWIB1"
"IMPSC0204","10.200.104.1","IMPDEORM1"
"IMPSC0201","10.200.128.1","IMPDELWE1"
"IMPSC0196","10.200.176.1","IMPDEMUC2"
"IMPSC0200","10.200.192.1","IMPDESTR1"
"IMPSC0182","10.200.216.1","IMPDEHUO10"
"IMPSC0214","10.201.0.1","IMPDERAU1"
"IMPSA0284","10.201.0.5","IMPDERAU1"
"IMPSA0290","10.201.0.6","IMPDERAU1"
"IMPSA0282","10.201.0.7","IMPDERAU1"
"IMPSA0283","10.201.0.8","IMPDERAU1"
"IMPSA0291","10.201.0.9","IMPDERAU1"
"IMPSA0287","10.201.0.10","IMPDERAU1"
"IMPSW0002","10.201.0.11","IMPDERAU1"
"IMPSC0248","10.201.16.1","IMPDEBER1"
"IMPSA0185","10.201.16.5","IMPDEBER1"
"IMPSA0186","10.201.16.6","IMPDEBER1"
"IMPSC0187","10.201.16.7","IMPDEBER1"
"IMPSC0230","10.201.16.8","IMPDEBER1"
"IMPSC0237","10.201.24.1","IMPDEBER3"
"IMPSA0305","10.201.24.5","IMPDEBER3"
"IMPSC0252","10.201.32.1","IMPDEBFE1"
"IMPSA0316","10.201.40.1","IMPDEEEN1"
"IMPSA0294","10.201.40.5","IMPDEEEN1"
"IMPSA0295","10.201.40.6","IMPDEEEN1"
"IMPSA0317","10.201.40.7","IMPDEEEN1"
"IMPSW0008","10.201.40.8","IMPDEEEN1"
"IMPSW0009","10.201.40.9","IMPDEEEN1"
"IMPSW0007","10.201.40.10","IMPDEEEN1"
"IMPSW0006","10.201.40.11","IMPDEEEN1"
"IMPSC0190","10.201.48.1","IMPDEEMG1"
"IMPSA0189","10.201.48.5","IMPDEEMG1"
